"examinee","QRS_int","T_int","QT_int","RC_int","RC_int2","BX_int","BX_int2","RS_amp","RQ_amp","TT1_amp","TT2_amp","CB_amp","CX_amp","ECGTcrest","ICGcrest","RR","CC"
"ID0046 - 1","56.5","209.73","398.08","61.9","73.56","387.5","460.46","1.08","0.95","0.15","0.13","1.74","2.05","1.62","1.82","708.2","708.1"
"ID0046 - 1","56.5","193.96","408.57","62.45","78.15","374.5","468.64","1.04","0.9","0.13","0.12","1.67","1.86","1.53","2.28","638.6","637.4"
"ID0046 - 1","56.5","186.56","405.45","62.5","77.73","381","473.85","1.06","0.93","0.13","0.12","1.6","1.81","1.53","2.31","646.5","645.7"
"ID0046 - 1","56","226.45","413.35","61.55","78.52","388.5","495.64","1.07","0.94","0.14","0.11","1.55","1.8","1.62","2.3","614.4","614.2"
"ID0046 - 2","56.5","214.7","404.68","56.55","73.58","365","474.95","1.06","0.93","0.11","0.08","1.84","2.13","1.5","2.28","590.6","591.1"
"ID0046 - 2","56.5","246.22","404.87","63.05","80.02","372","472.14","1.05","0.92","0.14","0.11","1.7","1.92","1.64","1.75","620.8","621.6"
"ID0046 - 2","58","205.71","407.72","63.55","78.52","387.5","478.76","1.06","0.92","0.14","0.13","1.65","1.92","1.59","1.75","655.1","654.4"
"ID0046 - 2","56","196.61","406.17","63","77.66","387","477.05","1.06","0.92","0.12","0.1","1.72","1.98","1.57","2.31","658.1","658.1"
"ID0027 - 1","60","272.09","419.79","72.1","93.42","344.5","446.35","1.43","1.3","0.14","0.07","1.25","1.72","1.52","2.01","595.7","596.4"
"ID0027 - 1","59","269.87","424.26","72.35","92.32","357","455.53","1.37","1.25","0.14","0.08","1.28","1.66","1.54","1.91","614.2","614.3"
"ID0027 - 1","58.5","269.71","413.3","73","91.15","350.5","437.65","1.41","1.29","0.15","0.1","1.16","1.49","1.57","1.85","641.4","641.7"
"ID0027 - 1","60.5","271.56","414.49","73.6","91.47","368.5","457.98","1.39","1.26","0.16","0.11","1.24","1.53","1.61","1.87","647.4","647.2"
"ID0027 - 2","58.5","295.89","433.73","70.65","89.34","355","448.9","1.39","1.27","0.14","0.08","1.23","1.54","1.56","1.83","625.4","625.6"
"ID0027 - 2","60","268.88","430.08","71.3","94.21","338.5","447.26","1.44","1.32","0.12","0.06","1.18","1.66","1.56","1.92","572.8","572.8"
